Jacob's Average: 89.67
Michael's Average: 94.67
Joshua's Average: 90.67
Matthew's Average: 85.67
Daniel's Average: 84.0
Christopher's Average: 92.67
Andrew's Average: 92.0
Ethan's Average: 86.67
Joseph's Average: 91.67
Emily's Average: 82.67
Madison's Average: 93.0
Emma's Average: 92.67
Olivia's Average: 95.67
Hannah's Average: 92.67
Abigail's Average: 91.33
Isabella's Average: 88.33
Samantha's Average: 91.0
Elizabeth's Average: 97.67
Ashley's Average: 87.0
Alexis's Average: 91.33
Sarah's Average: 85.33
Sophia's Average: 88.0
